Artist Name,Artist URI,Song Name,Song URI,Popularity Score,Playlist Add Date,Tuple Label Artist Name URI,Label Album,Record Label,Tuple Followers Artist Name URI,Artist Followers,Album Name,Album URI,Playlist Name,Playlist URI,Playlist Length,Playlist Followers,Playlist Song Index,Last Refresh,Artist Daily Tracks,Label Daily Tracks,Song Daily Tracks
TobyMac,5VX8hxrcfJWwaTLiqGUHG3,Edge Of My Seat - THUNDERBIRD Remix,2oTLO5bUVaNMuZYaevh0yf,34,2021-06-12T03:57:32Z,"('TobyMac', '5VX8hxrcfJWwaTLiqGUHG3')",The St. Nemele Collab Sessions,Forefront (FRF),"('TobyMac', '5VX8hxrcfJWwaTLiqGUHG3')",965566,The St. Nemele Collab Sessions,6HbrhmZ9osGyiKjUFDxQGJ,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,45,6/29/2021,13,16,1
Platon Emil,08WKaltWCl4lLaEq0UvYeQ,Mirage,511Q7DOLFifvVhCfPO1tgp,36,2021-06-12T03:57:32Z,"('Platon Emil', '08WKaltWCl4lLaEq0UvYeQ')",Mirage,Dream Records (DRE),"('Platon Emil', '08WKaltWCl4lLaEq0UvYeQ')",981,Mirage,5AmXZU3x9PMA0p5Y5pD9C4,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,46,6/29/2021,1,17,1
Wande,0GdzQJqgRL5SHp7kXOKba0,HAPPY,3ujkAJ4EMZzgMgM1RXqpCJ,43,2021-06-12T03:57:32Z,"('Wande', '0GdzQJqgRL5SHp7kXOKba0')",EXIT,Reach Records,"('Wande', '0GdzQJqgRL5SHp7kXOKba0')",39085,EXIT,23hocB8tXBHfvImk7SNPnv,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,47,6/29/2021,4,44,3
Mass Anthem,0KVR8D2dx5Td8ONhNZRLkM,Through People Like Me - Chris Howland Remix,5q6iykOAJ0N2fe7wvj0r3A,38,2021-06-12T03:57:32Z,"('Mass Anthem', '0KVR8D2dx5Td8ONhNZRLkM')",Through People Like Me (Chris Howland Remix),Dream Records (DRE),"('Mass Anthem', '0KVR8D2dx5Td8ONhNZRLkM')",18703,Through People Like Me (Chris Howland Remix),5hD1dXOyGkApOTXsjxw0jm,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,48,6/29/2021,3,17,1
SEU Worship,7M7UXUwtz3Wb25PVS8dwHs,Higher Than Mine,1cloJnP4gDul2IiDqCwGNh,43,2021-06-12T03:57:32Z,"('SEU Worship', '7M7UXUwtz3Wb25PVS8dwHs')",Higher Than Mine,Essential Worship,"('SEU Worship', '7M7UXUwtz3Wb25PVS8dwHs')",42553,Higher Than Mine,6CR7FS8KhwY5HnEGlUeGTN,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,49,6/29/2021,12,91,1
Aaron Cole,0OQ8y7heASb1vEX5WXvjCr,Right on Time (feat. Tobymac),2vMAoAyBQiKGfMwSwd8eE9,50,2021-06-12T03:57:32Z,"('Aaron Cole', '0OQ8y7heASb1vEX5WXvjCr')",Right on Time (feat. Tobymac),Gotee Records,"('Aaron Cole', '0OQ8y7heASb1vEX5WXvjCr')",52344,Right on Time (feat. Tobymac),75p9254Rl4Rp4Qv0ZwqiEm,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,50,6/29/2021,14,62,1
Highlands Worship,48ubKBTTmlA82dffZ223In,Victory (Remix),0m8YMp4kDDFVATJCVIdhOv,30,2021-06-12T03:57:32Z,"('Highlands Worship', '48ubKBTTmlA82dffZ223In')",You're Here - EP,Highlands Creative Publishing,"('Highlands Worship', '48ubKBTTmlA82dffZ223In')",46209,You're Here - EP,0rKi7QjPJvKUskc2wmojXW,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,51,6/29/2021,7,2,1
Tauren Wells,3SKza3YPBri1k43LB1Tqy4,Millionaire (Good Like That),6ukbMW0CFuZHU1JQNg36su,45,2021-06-12T03:57:32Z,"('Tauren Wells', '3SKza3YPBri1k43LB1Tqy4')",Citizen of Heaven,Essential Records,"('Tauren Wells', '3SKza3YPBri1k43LB1Tqy4')",367519,Citizen of Heaven,7o7x7p8emSxFJXS2ECj1Us,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,52,6/29/2021,28,93,1
Hillsong Young & Free,7m4gF38CPATtHrk5HS42WZ,Best Friends,0fDEDcUApzHMvBlIIKcmMk,50,2021-06-12T03:57:32Z,"('Hillsong Young & Free', '7m4gF38CPATtHrk5HS42WZ')",All Of My Best Friends,Hillsong (HIL),"('Hillsong Young & Free', '7m4gF38CPATtHrk5HS42WZ')",913892,All Of My Best Friends,1JqOZim8WcsjtJXuHrgOQO,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,53,6/29/2021,17,135,2
Youngheart,4Sws10KYj3cK2OCWweGv75,I Believe,2sCLhumJK6miHTPJvl3IHE,32,2021-06-12T03:57:32Z,"('Youngheart', '4Sws10KYj3cK2OCWweGv75')",I Believe,YoungHeart Ministries,"('Youngheart', '4Sws10KYj3cK2OCWweGv75')",1659,I Believe,1kmv6m8hy3vd3jAw3gnYUH,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,75,86952,54,6/29/2021,3,1,1
